(-1.21, -9.61, 3.52) 
(-1.21, -9.61, 3.52) 
(-1.21, -9.61, 3.52) 
(-1.34, -9.370000000000001, 3.41) 
(-1.34, -9.370000000000001, 3.41) 
(-1.34, -9.370000000000001, 3.41) 
(-1.34, -9.370000000000001, 3.41) 
(-1.27, -9.28, 3.46) 
(-1.27, -9.28, 3.46) 
(-1.27, -9.28, 3.46) 
(-1.17, -9.25, 3.46) 
(-1.17, -9.25, 3.46) 
(-1.17, -9.25, 3.46) 
(-0.9500000000000001, -9.14, 3.37) 
(-0.9500000000000001, -9.14, 3.37) 
(-0.9500000000000001, -9.14, 3.37) 
(-0.93, -9.09, 3.39) 
(-0.93, -9.09, 3.39) 
(-0.93, -9.09, 3.39) 
(-0.9500000000000001, -8.97, 3.42) 
(-0.9500000000000001, -8.97, 3.42) 
(-0.9500000000000001, -8.97, 3.42) 
(-0.9500000000000001, -8.97, 3.42) 
(-1.04, -8.950000000000001, 3.34) 
(-1.04, -8.950000000000001, 3.34) 
(-1.04, -8.950000000000001, 3.34) 
(-1.17, -8.96, 3.54) 
(-1.17, -8.96, 3.54) 
(-1.17, -8.96, 3.54) 
(-1.26, -8.96, 3.6) 
(-1.26, -8.96, 3.6) 
(-1.26, -8.96, 3.6) 
(-1.3, -9.040000000000001, 3.62) 
(-1.3, -9.040000000000001, 3.62) 
(-1.3, -9.040000000000001, 3.62) 
(-1.26, -9.17, 3.62) 
(-1.26, -9.17, 3.62) 
(-1.26, -9.17, 3.62) 
(-1.26, -9.17, 3.62) 
(-1.16, -9.3, 3.74) 
(-1.16, -9.3, 3.74) 
(-1.16, -9.3, 3.74) 
(-1.1, -9.26, 3.71) 
(-1.1, -9.26, 3.71) 
(-1.1, -9.26, 3.71) 
(-1.11, -9.18, 3.71) 
(-1.11, -9.18, 3.71) 
(-1.21, -9.13, 3.94) 
(-1.21, -9.13, 3.94) 
(-1.3, -9.17, 4.0200000000000005) 
(-1.3, -9.17, 4.0200000000000005) 
(-1.3, -9.17, 4.0200000000000005) 
(-1.3800000000000001, -9.24, 4.0) 
(-1.3800000000000001, -9.24, 4.0) 
(-1.3800000000000001, -9.24, 4.0) 
(-1.44, -9.3, 4.0) 
(-1.44, -9.3, 4.0) 
(-1.44, -9.3, 4.0) 
(-1.44, -9.3, 4.0) 
(-1.35, -9.540000000000001, 4.08) 
(-1.35, -9.540000000000001, 4.08) 
(-1.35, -9.540000000000001, 4.08) 
(-1.3, -9.68, 4.04) 
(-1.3, -9.68, 4.04) 
(-1.3, -9.68, 4.04) 
(-1.29, -9.67, 4.11) 
(-1.29, -9.67, 4.11) 
(-1.29, -9.67, 4.11) 
(-1.29, -9.67, 4.11) 
(-1.34, -9.620000000000001, 4.13) 
(-1.34, -9.620000000000001, 4.13) 
(-1.34, -9.620000000000001, 4.13) 
(-1.37, -9.53, 4.26) 
(-1.37, -9.53, 4.26) 
(-1.37, -9.53, 4.26) 
(-1.3900000000000001, -9.540000000000001, 4.3) 
(-1.3900000000000001, -9.540000000000001, 4.3) 
(-1.3900000000000001, -9.540000000000001, 4.3) 
(-1.44, -9.56, 4.23) 
(-1.44, -9.56, 4.23) 
(-1.44, -9.56, 4.23) 
(-1.5, -9.53, 4.26) 
(-1.5, -9.53, 4.26) 
(-1.5, -9.53, 4.26) 
(-1.5, -9.53, 4.26) 
(-1.43, -9.55, 4.2) 
(-1.43, -9.55, 4.2) 
(-1.43, -9.55, 4.2) 
(-1.45, -9.59, 4.08) 
(-1.45, -9.59, 4.08) 
(-1.45, -9.59, 4.08) 
(-1.46, -9.6, 4.04) 
(-1.46, -9.6, 4.04) 
(-1.46, -9.6, 4.04) 
(-1.46, -9.64, 4.22) 
(-1.46, -9.64, 4.22) 
(-1.46, -9.64, 4.22) 
(-1.46, -9.64, 4.22) 
(-1.46, -9.69, 4.21) 
(-1.46, -9.69, 4.21) 
(-1.46, -9.69, 4.21) 
(-1.46, -9.69, 4.21) 
(-1.49, -9.71, 4.11) 
(-1.49, -9.71, 4.11) 
(-1.49, -9.71, 4.11) 
(-1.5, -9.74, 4.07) 
(-1.5, -9.74, 4.07) 
(-1.5, -9.74, 4.07) 
(-1.41, -9.72, 4.0) 
(-1.41, -9.72, 4.0) 
(-1.41, -9.72, 4.0) 
(-1.43, -9.75, 4.01) 
(-1.43, 317.93, 4.01) 
(-1.43, -9.75, 4.01) 
(-1.44, -9.77, 4.04) 
(-1.44, -9.77, 4.04) 
(-1.44, -9.77, 4.04) 
(-1.45, -9.65, 4.03) 
(-1.45, -9.65, 4.03) 
(-1.45, -9.65, 4.03) 
(-1.45, -9.65, 4.03) 
(-1.37, -9.47, 3.97) 
(-1.37, -9.47, 3.97) 
(-1.37, -9.47, 3.97) 
(-1.36, -9.38, 3.93) 
(-1.36, -9.38, 3.93) 
(-1.36, -9.38, 3.93) 
(-1.4000000000000001, -9.32, 4.05) 
(-1.4000000000000001, -9.32, 4.05) 
(-1.4000000000000001, -9.32, 4.05) 
(-1.47, -9.33, 3.97) 
(-1.47, -9.33, 3.97) 
(-1.47, -9.33, 3.97) 
(-1.47, -9.33, 3.97) 
(-1.52, -9.450000000000001, 3.95) 
(-1.52, -9.450000000000001, 3.95) 
(-1.52, -9.450000000000001, 3.95) 
(-1.44, -9.540000000000001, 4.0200000000000005) 
(-1.44, -9.540000000000001, 4.0200000000000005) 
(-1.44, -9.540000000000001, 4.0200000000000005) 
(-1.35, -9.61, 4.0200000000000005) 
(-1.35, -9.61, 4.0200000000000005) 
(-1.35, -9.61, 4.0200000000000005) 
(-1.24, -9.44, 3.96) 
(-1.24, -9.44, 3.96) 
(-1.24, -9.44, 3.96) 
(-1.32, -9.35, 3.98) 
(-1.32, -9.35, 3.98) 
(-1.32, -9.35, 3.98) 
(-1.32, -9.35, 3.98) 
(-1.4000000000000001, -9.22, 4.03) 
(-1.4000000000000001, -9.22, 4.03) 
(-1.4000000000000001, -9.22, 4.03) 
(-1.41, -9.120000000000001, 4.07) 
(-1.41, -9.120000000000001, 4.07) 
(-1.41, -9.120000000000001, 4.07) 
(-1.3900000000000001, -9.09, 3.96) 
(-1.3900000000000001, -9.09, 3.96) 
(-1.3900000000000001, -9.09, 3.96) 
(-1.35, -9.16, 3.99) 
